t_s,Q_m3_s,C_p_mg_m3
1,0.903153,193.013
2,0.902174,362.713
3,0.90083,511.979
4,0.899171,643.355
5,0.89723,759.082
6,0.895042,861.128
7,0.892642,951.22
8,0.890051,1030.87
9,0.887293,1101.41
10,0.884392,1164
11,0.88136,1219.64
12,0.878218,1269.23
13,0.874973,1313.54
14,0.871643,1353.24
15,0.868237,1388.92
16,0.864761,1421.09
17,0.861223,1450.21
18,0.857633,1476.66
19,0.853996,1500.8
20,0.850316,1522.91
21,0.846599,1543.25
22,0.842848,1562.06
23,0.839066,1579.54
24,0.835259,1595.85
25,0.831424,1611.16
26,0.827584,1625.58
27,0.823823,1639.23
28,0.820044,1652.19
29,0.81625,1664.56
30,0.81244,1676.43
31,0.808615,1687.86
32,0.804779,1698.91
33,0.80093,1709.65
34,0.796862,1720.16
35,0.792717,1730.5
36,0.788563,1740.7
37,0.784399,1750.79
38,0.780225,1760.79
39,0.776041,1770.73
40,0.771849,1780.63
41,0.767649,1790.5
42,0.76344,1800.36
43,0.759226,1810.22
44,0.755002,1820.1
45,0.750772,1830.01
46,0.746532,1839.95
47,0.742287,1849.94
48,0.738032,1859.99
49,0.733774,1870.1
50,0.729507,1880.27
51,0.725234,1890.53
52,0.720954,1900.87
53,0.716668,1911.29
54,0.712373,1921.81
55,0.708075,1932.42
56,0.703768,1943.14
57,0.699458,1953.96
58,0.695138,1964.89
59,0.690815,1975.94
60,0.686483,1987.11
61,0.682145,1998.39
62,0.6778,2009.81
63,0.673453,2021.35
64,0.669096,2033.02
65,0.664736,2044.83
66,0.660367,2056.77
67,0.655993,2068.86
68,0.651614,2081.09
69,0.647229,2093.47
70,0.642835,2106.01
71,0.638438,2118.69
72,0.634035,2131.54
73,0.629626,2144.54
74,0.625213,2157.71
75,0.620792,2171.05
76,0.616364,2184.55
77,0.611933,2198.23
78,0.607496,2212.09
79,0.603053,2226.13
80,0.598603,2240.36
81,0.594151,2254.77
82,0.589689,2269.37
83,0.585224,2284.17
84,0.580753,2299.17
85,0.576279,2314.37
86,0.571795,2329.78
87,0.567309,2345.4
88,0.562819,2361.24
89,0.558323,2377.29
90,0.553821,2393.57
91,0.549313,2410.08
92,0.544802,2426.82
93,0.540284,2443.8
94,0.54,2459.63
95,0.54,2474.32
96,0.54,2487.95
97,0.54,2500.59
98,0.54,2512.31
99,0.54,2523.18
100,0.54,2533.26
101,0.54,2542.61
102,0.54,2551.29
103,0.54,2559.33
104,0.54,2566.79
105,0.54,2573.71
106,0.54,2580.13
107,0.54,2586.09
108,0.54,2591.61
109,0.54,2596.73
110,0.54,2601.48
111,0.54,2605.89
112,0.54,2609.97
113,0.54,2613.76
114,0.54,2617.28
115,0.54,2620.54
116,0.54,2623.56
117,0.54,2626.37
118,0.54,2628.97
119,0.54,2631.38
120,0.54,2633.62
121,0.54,2635.7
122,0.54,2637.62
123,0.54,2639.41
124,0.54,2641.06
125,0.54,2642.6
126,0.54,2644.03
127,0.54,2645.35
128,0.54,2646.57
129,0.54,2647.71
130,0.54,2648.76
131,0.54,2649.74
132,0.54,2650.65
133,0.54,2651.49
134,0.54,2652.27
135,0.54,2652.99
136,0.54,2653.67
137,0.54,2654.29
138,0.54,2654.87
139,0.54,2655.4
140,0.54,2655.9
141,0.54,2656.36
142,0.54,2656.79
143,0.54,2657.18
144,0.54,2657.55
145,0.54,2657.89
146,0.54,2658.21
147,0.54,2658.5
148,0.54,2658.77
149,0.54,2659.02
150,0.54,2659.26
151,0.54,2659.48
152,0.54,2659.68
153,0.54,2659.86
154,0.54,2660.04
155,0.54,2660.2
156,0.54,2660.35
157,0.54,2660.48
158,0.54,2660.61
159,0.54,2660.73
160,0.54,2660.84
161,0.54,2660.94
162,0.54,2661.04
163,0.54,2661.13
164,0.54,2661.21
165,0.54,2661.28
166,0.54,2661.35
167,0.54,2661.42
168,0.54,2661.48
169,0.54,2661.54
170,0.54,2661.59
171,0.54,2661.64
172,0.54,2661.68
173,0.54,2661.72
174,0.54,2661.76
175,0.54,2661.8
176,0.54,2661.83
177,0.54,2661.86
178,0.54,2661.89
179,0.54,2661.92
180,0.54,2661.94
181,0.54,2661.96
182,0.54,2661.98
183,0.54,2662
184,0.54,2662.02
185,0.54,2662.04
186,0.54,2662.05
187,0.54,2662.07
188,0.54,2662.08
189,0.54,2662.09
190,0.54,2662.11
191,0.54,2662.12
192,0.54,2662.13
193,0.54,2662.14
194,0.54,2662.14
195,0.54,2662.15
196,0.54,2662.16
197,0.54,2662.17
198,0.54,2662.17
199,0.54,2662.18
200,0.54,2662.18
201,0.54,2662.19
202,0.54,2662.19
203,0.54,2662.2
204,0.54,2662.2
205,0.54,2662.21
206,0.54,2662.21
207,0.54,2662.21
208,0.54,2662.21
209,0.54,2662.22
210,0.54,2662.22
211,0.54,2662.22
212,0.54,2662.22
213,0.54,2662.23
214,0.54,2662.23
215,0.54,2662.23
216,0.54,2662.23
217,0.54,2662.23
218,0.54,2662.23
219,0.54,2662.24
220,0.54,2662.24
221,0.54,2662.24
222,0.54,2662.24
223,0.54,2662.24
224,0.54,2662.24
225,0.54,2662.24
226,0.54,2662.24
227,0.54,2662.24
228,0.54,2662.24
229,0.54,2662.25
230,0.54,2662.25
231,0.54,2662.25
232,0.54,2662.25
233,0.54,2662.25
234,0.54,2662.25
235,0.54,2662.25
236,0.54,2662.25
237,0.54,2662.25
238,0.54,2662.25
239,0.54,2662.25
240,0.54,2662.25
241,0.54,2526.73
242,0.54,2401.04
243,0.54,2284.45
244,0.54,2176.32
245,0.54,2076.03
246,0.54,1983.01
247,0.54,1896.74
248,0.54,1816.72
249,0.54,1742.5
250,0.54,1673.66
251,0.54,1609.82
252,0.54,1550.6
253,0.54,1495.67
254,0.54,1444.73
255,0.54,1397.48
256,0.54,1353.66
257,0.54,1313.01
258,0.54,1275.31
259,0.54,1240.34
260,0.54,1207.91
261,0.54,1177.83
262,0.54,1149.93
263,0.54,1124.05
264,0.54,1100.05
265,0.54,1077.79
266,0.54,1057.15
267,0.54,1038
268,0.54,1020.24
269,0.54,1003.76
270,0.54,988.482
271,0.54,974.311
272,0.54,961.167
273,0.54,948.975
274,0.54,937.668
275,0.54,927.18
276,0.54,917.453
277,0.54,908.431
278,0.54,900.063
279,0.54,892.302
280,0.54,885.103
281,0.54,878.427
282,0.54,872.234
283,0.54,866.49
284,0.54,861.163
285,0.54,856.222
286,0.54,851.639
287,0.54,847.389
288,0.54,843.447
289,0.54,839.79
290,0.54,836.399
291,0.54,833.253
292,0.54,830.336
293,0.54,827.63
294,0.54,825.12
295,0.54,822.792
296,0.54,820.633
297,0.54,818.63
298,0.54,816.773
299,0.54,815.05
300,0.54,813.452
301,0.54,754.477
302,0.54,699.777
303,0.54,649.044
304,0.54,601.988
305,0.54,558.344
306,0.54,517.864
307,0.54,480.319
308,0.54,445.496
309,0.54,413.197
310,0.54,383.24
311,0.54,355.455
312,0.54,329.685
313,0.54,305.783
314,0.54,283.614
315,0.54,263.052
316,0.54,243.98
317,0.54,226.292
318,0.54,209.886
319,0.54,194.669
320,0.54,180.555
321,0.54,167.465
322,0.54,155.324
323,0.54,144.063
324,0.54,133.618
325,0.54,123.931
326,0.54,114.946
327,0.54,106.612
328,0.54,98.883
329,0.54,91.714
330,0.54,85.0648
331,0.54,78.8976
332,0.54,73.1775
333,0.54,67.8721
334,0.54,62.9514
335,0.54,58.3874
336,0.54,54.1543
337,0.54,50.2281
338,0.54,46.5866
339,0.54,43.2091
340,0.54,40.0764
341,0.54,37.1709
342,0.54,34.476
343,0.54,31.9765
344,0.54,29.6582
345,0.54,27.508
346,0.54,25.5136
347,0.54,23.6639
348,0.54,21.9483
349,0.54,20.357
350,0.54,18.8811
351,0.54,17.5123
352,0.54,16.2426
353,0.54,15.065
354,0.54,13.9728
355,0.54,12.9598
356,0.54,12.0202
357,0.54,11.1487
358,0.54,10.3404
359,0.54,9.59077
360,0.54,8.89544
361,0.54,8.25052
362,0.54,7.65235
363,0.54,7.09756
364,0.54,6.58299
365,0.54,6.10572
366,0.54,5.66305
367,0.54,5.25248
368,0.54,4.87168
369,0.54,4.51848
370,0.54,4.19089
371,0.54,3.88705
372,0.54,3.60524
373,0.54,3.34386
374,0.54,3.10143
375,0.54,2.87658
376,0.54,2.66803
377,0.54,2.47459
378,0.54,2.29519
379,0.54,2.12878
380,0.54,1.97445
381,0.54,1.8313
382,0.54,1.69853
383,0.54,1.57539
384,0.54,1.46117
385,0.54,1.35524
386,0.54,1.25698
387,0.54,1.16585
388,0.54,1.08133
389,0.54,1.00293
390,0.54,0.930218
391,0.54,0.862777
392,0.54,0.800226
393,0.54,0.74221
394,0.54,0.688399
395,0.54,0.63849
396,0.54,0.5922
397,0.54,0.549265
398,0.54,0.509444
399,0.54,0.472509
400,0.54,0.438252
401,0.54,0.406479
402,0.54,0.377009
403,0.54,0.349676
404,0.54,0.324324
405,0.54,0.300811
406,0.54,0.279002
407,0.54,0.258774
408,0.54,0.240013
409,0.54,0.222612
410,0.54,0.206473
411,0.54,0.191504
412,0.54,0.17762
413,0.54,0.164742
414,0.54,0.152798
415,0.54,0.141721
416,0.54,0.131446
417,0.54,0.121916
418,0.54,0.113077
419,0.54,0.104879
420,0.54,0.0972752
421,0.54,193.104
422,0.54,372.117
423,0.54,538.152
424,0.54,692.149
425,0.54,834.982
426,0.54,967.459
427,0.54,1090.33
428,0.54,1204.3
429,0.54,1310
430,0.54,1408.04
431,0.54,1498.97
432,0.54,1583.31
433,0.54,1661.53
434,0.54,1734.08
435,0.54,1801.37
436,0.54,1863.79
437,0.54,1921.68
438,0.54,1975.37
439,0.54,2025.17
440,0.54,2071.36
441,0.54,2114.2
442,0.54,2153.93
443,0.54,2190.78
444,0.54,2224.96
445,0.54,2256.67
446,0.54,2286.07
447,0.54,2313.35
448,0.54,2338.64
449,0.54,2362.1
450,0.54,2383.86
451,0.54,2404.05
452,0.54,2422.77
453,0.54,2440.13
454,0.54,2456.23
455,0.54,2471.17
456,0.54,2485.02
457,0.54,2497.87
458,0.54,2509.79
459,0.54,2520.84
460,0.54,2531.1
461,0.54,2540.61
462,0.54,2549.42
463,0.54,2557.6
464,0.54,2565.19
465,0.54,2572.23
466,0.54,2578.76
467,0.54,2584.81
468,0.54,2590.42
469,0.54,2595.63
470,0.54,2600.46
471,0.54,2604.94
472,0.54,2609.1
473,0.54,2612.95
474,0.54,2616.52
475,0.54,2619.84
476,0.54,2622.91
477,0.54,2625.77
478,0.54,2628.41
479,0.54,2630.87
480,0.54,2633.14
481,0.54,2635.25
482,0.54,2637.21
483,0.54,2639.02
484,0.54,2640.71
485,0.54,2642.27
486,0.54,2643.72
487,0.54,2645.06
488,0.54,2646.31
489,0.54,2647.47
490,0.54,2648.54
491,0.54,2649.53
492,0.54,2650.45
493,0.54,2651.31
494,0.54,2652.1
495,0.54,2652.84
496,0.54,2653.52
497,0.54,2654.15
498,0.54,2654.74
499,0.54,2655.29
500,0.54,2655.79
501,0.54,2656.26
502,0.54,2656.69
503,0.54,2657.1
504,0.54,2657.47
505,0.54,2657.82
506,0.54,2658.14
507,0.54,2658.44
508,0.54,2658.71
509,0.54,2658.97
510,0.54,2659.21
511,0.54,2659.43
512,0.54,2659.63
513,0.54,2659.82
514,0.54,2660
515,0.54,2660.16
516,0.54,2660.31
517,0.54,2660.46
518,0.54,2660.59
519,0.54,2660.71
520,0.54,2660.82
521,0.54,2660.92
522,0.54,2661.02
523,0.54,2661.11
524,0.54,2661.19
525,0.54,2661.27
526,0.54,2661.34
527,0.54,2661.41
528,0.54,2661.47
529,0.54,2661.52
530,0.54,2661.58
531,0.54,2661.63
532,0.54,2661.67
533,0.54,2661.71
534,0.54,2661.75
535,0.54,2661.79
536,0.54,2661.82
537,0.54,2661.85
538,0.54,2661.88
539,0.54,2661.91
540,0.54,2661.93
541,0.54,2661.96
542,0.54,2661.98
543,0.54,2662
544,0.54,2662.02
545,0.54,2662.03
546,0.54,2662.05
547,0.54,2662.06
548,0.54,2662.08
549,0.54,2662.09
550,0.54,2662.1
551,0.54,2662.11
552,0.54,2662.12
553,0.54,2662.13
554,0.54,2662.14
555,0.54,2662.15
556,0.54,2662.16
557,0.54,2662.16
558,0.54,2662.17
559,0.54,2662.18
560,0.54,2662.18
561,0.54,2662.19
562,0.54,2662.19
563,0.54,2662.2
564,0.54,2662.2
565,0.54,2662.2
566,0.54,2662.21
567,0.54,2662.21
568,0.54,2662.21
569,0.54,2662.22
570,0.54,2662.22
571,0.54,2662.22
572,0.54,2662.22
573,0.54,2662.23
574,0.54,2662.23
575,0.54,2662.23
576,0.54,2662.23
577,0.54,2662.23
578,0.54,2662.23
579,0.54,2662.24
580,0.54,2662.24
581,0.54,2662.24
582,0.54,2662.24
583,0.54,2662.24
584,0.54,2662.24
585,0.54,2662.24
586,0.54,2662.24
587,0.54,2662.24
588,0.54,2662.24
589,0.54,2662.24
590,0.54,2662.25
591,0.54,2662.25
592,0.54,2662.25
593,0.54,2662.25
594,0.54,2662.25
595,0.54,2662.25
596,0.54,2662.25
597,0.54,2662.25
598,0.54,2662.25
599,0.54,2662.25
600,0.54,2662.25
601,0.54,2662.25
602,0.54,2662.25
603,0.54,2662.25
604,0.54,2662.25
605,0.54,2662.25
606,0.54,2662.25
607,0.54,2662.25
608,0.54,2662.25
609,0.54,2662.25
610,0.54,2662.25
611,0.54,2662.25
612,0.54,2662.25
613,0.54,2662.25
614,0.54,2662.25
615,0.54,2662.25
616,0.54,2662.25
617,0.54,2662.25
618,0.54,2662.25
619,0.54,2662.25
620,0.54,2662.25
621,0.54,2662.25
622,0.54,2662.25
623,0.54,2662.25
624,0.54,2662.25
625,0.54,2662.25
626,0.54,2662.25
627,0.54,2662.25
628,0.54,2662.25
629,0.54,2662.25
630,0.54,2662.25
631,0.54,2662.25
632,0.54,2662.25
633,0.54,2662.25
634,0.54,2662.25
635,0.54,2662.25
636,0.54,2662.25
637,0.54,2662.25
638,0.54,2662.25
639,0.54,2662.25
640,0.54,2662.25
641,0.54,2662.25
642,0.54,2662.25
643,0.54,2662.25
644,0.54,2662.25
645,0.54,2662.25
646,0.54,2662.25
647,0.54,2662.25
648,0.54,2662.25
649,0.54,2662.25
650,0.54,2662.25
651,0.54,2662.25
652,0.54,2662.25
653,0.54,2662.25
654,0.54,2662.25
655,0.54,2662.25
656,0.54,2662.25
657,0.54,2662.25
658,0.54,2662.25
659,0.54,2662.25
660,0.54,2662.25
661,0.54,2526.73
662,0.54,2401.04
663,0.54,2284.46
664,0.54,2176.33
665,0.54,2076.04
666,0.54,1983.02
667,0.54,1896.74
668,0.54,1816.72
669,0.54,1742.5
670,0.54,1673.66
671,0.54,1609.82
672,0.54,1550.6
673,0.54,1495.67
674,0.54,1444.73
675,0.54,1397.48
676,0.54,1353.66
677,0.54,1313.01
678,0.54,1275.31
679,0.54,1240.34
680,0.54,1207.91
681,0.54,1177.83
682,0.54,1149.93
683,0.54,1124.06
684,0.54,1100.05
685,0.54,1077.79
686,0.54,1057.15
687,0.54,1038
688,0.54,1020.24
689,0.54,1003.76
690,0.54,988.483
691,0.54,974.311
692,0.54,961.167
693,0.54,948.976
694,0.54,937.668
695,0.54,927.181
696,0.54,917.453
697,0.54,908.431
698,0.54,900.063
699,0.54,892.302
700,0.54,885.104
701,0.54,878.427
702,0.54,872.234
703,0.54,866.491
704,0.54,861.163
705,0.54,856.222
706,0.54,851.64
707,0.54,847.389
708,0.54,843.447
709,0.54,839.79
710,0.54,836.399
711,0.54,833.253
712,0.54,830.336
713,0.54,827.63
714,0.54,825.12
715,0.54,822.792
716,0.54,820.633
717,0.54,818.63
718,0.54,816.773
719,0.54,815.05
720,0.54,813.452
721,0.54,754.477
722,0.54,699.778
723,0.54,649.044
724,0.54,601.988
725,0.54,558.344
726,0.54,517.864
727,0.54,480.319
728,0.54,445.496
729,0.54,413.197
730,0.54,383.24
731,0.54,355.456
732,0.54,329.685
733,0.54,305.783
734,0.54,283.614
735,0.54,263.052
736,0.54,243.98
737,0.54,226.292
738,0.54,209.886
739,0.54,194.669
740,0.54,180.555
741,0.54,167.465
742,0.54,155.324
743,0.54,144.063
744,0.54,133.618
745,0.54,123.931
746,0.54,114.946
747,0.54,106.612
748,0.54,98.8831
749,0.54,91.714
750,0.54,85.0648
751,0.54,78.8976
752,0.54,73.1775
753,0.54,67.8721
754,0.54,62.9514
755,0.54,58.3874
756,0.54,54.1543
757,0.54,50.2281
758,0.54,46.5866
759,0.54,43.2091
760,0.54,40.0764
761,0.54,37.1709
762,0.54,34.476
763,0.54,31.9765
764,0.54,29.6582
765,0.54,27.508
766,0.54,25.5136
767,0.54,23.6639
768,0.54,21.9483
769,0.54,20.357
770,0.54,18.8811
771,0.54,17.5123
772,0.54,16.2426
773,0.54,15.065
774,0.54,13.9728
775,0.54,12.9598
776,0.54,12.0202
777,0.54,11.1487
778,0.54,10.3404
779,0.54,9.59077
780,0.54,8.89544
781,0.54,8.25052
782,0.54,7.65235
783,0.54,7.09756
784,0.54,6.58299
785,0.54,6.10572
786,0.54,5.66305
787,0.54,5.25248
788,0.54,4.87168
789,0.54,4.51848
790,0.54,4.19089
791,0.54,3.88705
792,0.54,3.60524
793,0.54,3.34386
794,0.54,3.10143
795,0.54,2.87658
796,0.54,2.66803
797,0.54,2.47459
798,0.54,2.29519
799,0.54,2.12878
800,0.54,1.97445
801,0.54,1.8313
802,0.54,1.69853
803,0.54,1.57539
804,0.54,1.46117
805,0.54,1.35524
806,0.54,1.25698
807,0.54,1.16585
808,0.54,1.08133
809,0.54,1.00293
810,0.54,0.930218
811,0.54,0.862777
812,0.54,0.800226
813,0.54,0.74221
814,0.54,0.688399
815,0.54,0.63849
816,0.54,0.5922
817,0.54,0.549265
818,0.54,0.509444
819,0.54,0.472509
820,0.54,0.438252
821,0.54,0.406479
822,0.54,0.377009
823,0.54,0.349676
824,0.54,0.324324
825,0.54,0.300811
826,0.54,0.279002
827,0.54,0.258774
828,0.54,0.240013
829,0.54,0.222612
830,0.54,0.206473
831,0.54,0.191504
832,0.54,0.17762
833,0.54,0.164742
834,0.54,0.152798
835,0.54,0.141721
836,0.54,0.131446
837,0.54,0.121916
838,0.54,0.113077
839,0.54,0.104879
840,0.54,0.0972752
841,0.54,193.104
842,0.54,372.117
843,0.54,538.152
844,0.54,692.149
845,0.54,834.982
846,0.54,967.459
847,0.54,1090.33
848,0.54,1204.3
849,0.54,1310
850,0.54,1408.04
851,0.54,1498.97
852,0.54,1583.31
853,0.54,1661.53
854,0.54,1734.08
855,0.54,1801.37
856,0.54,1863.79
857,0.54,1921.68
858,0.54,1975.37
859,0.54,2025.17
860,0.54,2071.36
861,0.54,2114.2
862,0.54,2153.93
863,0.54,2190.78
864,0.54,2224.96
865,0.54,2256.67
866,0.54,2286.07
867,0.54,2313.35
868,0.54,2338.64
869,0.54,2362.1
870,0.54,2383.86
871,0.54,2404.05
872,0.54,2422.77
873,0.54,2440.13
874,0.54,2456.23
875,0.54,2471.17
876,0.54,2485.02
877,0.54,2497.87
878,0.54,2509.79
879,0.54,2520.84
880,0.54,2531.1
881,0.54,2540.61
882,0.54,2549.42
883,0.54,2557.6
884,0.54,2565.19
885,0.54,2572.23
886,0.54,2578.76
887,0.54,2584.81
888,0.54,2590.42
889,0.54,2595.63
890,0.54,2600.46
891,0.54,2604.94
892,0.54,2609.1
893,0.54,2612.95
894,0.54,2616.52
895,0.54,2619.84
896,0.54,2622.91
897,0.54,2625.77
898,0.54,2628.41
899,0.54,2630.87
900,0.54,2633.14
901,0.54,2635.25
902,0.54,2637.21
903,0.54,2639.02
904,0.54,2640.71
905,0.54,2642.27
906,0.54,2643.72
907,0.54,2645.06
908,0.54,2646.31
909,0.54,2647.47
910,0.54,2648.54
911,0.54,2649.53
912,0.54,2650.45
913,0.54,2651.31
914,0.54,2652.1
915,0.54,2652.84
916,0.54,2653.52
917,0.54,2654.15
918,0.54,2654.74
919,0.54,2655.29
920,0.54,2655.79
921,0.54,2656.26
922,0.54,2656.69
923,0.54,2657.1
924,0.54,2657.47
925,0.54,2657.82
926,0.54,2658.14
927,0.54,2658.44
928,0.54,2658.71
929,0.54,2658.97
930,0.54,2659.21
931,0.54,2659.43
932,0.54,2659.63
933,0.54,2659.82
934,0.54,2660
935,0.54,2660.16
936,0.54,2660.31
937,0.54,2660.46
938,0.54,2660.59
939,0.54,2660.71
940,0.54,2660.82
941,0.54,2660.92
942,0.54,2661.02
943,0.54,2661.11
944,0.54,2661.19
945,0.54,2661.27
946,0.54,2661.34
947,0.54,2661.41
948,0.54,2661.47
949,0.54,2661.52
950,0.54,2661.58
951,0.54,2661.63
952,0.54,2661.67
953,0.54,2661.71
954,0.54,2661.75
955,0.54,2661.79
956,0.54,2661.82
957,0.54,2661.85
958,0.54,2661.88
959,0.54,2661.91
960,0.54,2661.93
961,0.54,2661.96
962,0.54,2661.98
963,0.54,2662
964,0.54,2662.02
965,0.54,2662.03
966,0.54,2662.05
967,0.54,2662.06
968,0.54,2662.08
969,0.54,2662.09
970,0.54,2662.1
971,0.54,2662.11
972,0.54,2662.12
973,0.54,2662.13
974,0.54,2662.14
975,0.54,2662.15
976,0.54,2662.16
977,0.54,2662.16
978,0.54,2662.17
979,0.54,2662.18
980,0.54,2662.18
981,0.54,2662.19
982,0.54,2662.19
983,0.54,2662.2
984,0.54,2662.2
985,0.54,2662.2
986,0.54,2662.21
987,0.54,2662.21
988,0.54,2662.21
989,0.54,2662.22
990,0.54,2662.22
991,0.54,2662.22
992,0.54,2662.22
993,0.54,2662.23
994,0.54,2662.23
995,0.54,2662.23
996,0.54,2662.23
997,0.54,2662.23
998,0.54,2662.23
999,0.54,2662.24
1000,0.54,2662.24
1001,0.54,2662.24
1002,0.54,2662.24
1003,0.54,2662.24
1004,0.54,2662.24
1005,0.54,2662.24
1006,0.54,2662.24
1007,0.54,2662.24
1008,0.54,2662.24
1009,0.54,2662.24
1010,0.54,2662.25
1011,0.54,2662.25
1012,0.54,2662.25
1013,0.54,2662.25
1014,0.54,2662.25
1015,0.54,2662.25
1016,0.54,2662.25
1017,0.54,2662.25
1018,0.54,2662.25
1019,0.54,2662.25
1020,0.54,2662.25
1021,0.54,2662.25
1022,0.54,2662.25
1023,0.54,2662.25
1024,0.54,2662.25
1025,0.54,2662.25
1026,0.54,2662.25
1027,0.54,2662.25
1028,0.54,2662.25
1029,0.54,2662.25
1030,0.54,2662.25
1031,0.54,2662.25
1032,0.54,2662.25
1033,0.54,2662.25
1034,0.54,2662.25
1035,0.54,2662.25
1036,0.54,2662.25
1037,0.54,2662.25
1038,0.54,2662.25
1039,0.54,2662.25
1040,0.54,2662.25
1041,0.54,2662.25
1042,0.54,2662.25
1043,0.54,2662.25
1044,0.54,2662.25
1045,0.54,2662.25
1046,0.54,2662.25
1047,0.54,2662.25
1048,0.54,2662.25
1049,0.54,2662.25
1050,0.54,2662.25
1051,0.54,2662.25
1052,0.54,2662.25
1053,0.54,2662.25
1054,0.54,2662.25
1055,0.54,2662.25
1056,0.54,2662.25
1057,0.54,2662.25
1058,0.54,2662.25
1059,0.54,2662.25
1060,0.54,2662.25
1061,0.54,2662.25
1062,0.54,2662.25
1063,0.54,2662.25
1064,0.54,2662.25
1065,0.54,2662.25
1066,0.54,2662.25
1067,0.54,2662.25
1068,0.54,2662.25
1069,0.54,2662.25
1070,0.54,2662.25
1071,0.54,2662.25
1072,0.54,2662.25
1073,0.54,2662.25
1074,0.54,2662.25
1075,0.54,2662.25
1076,0.54,2662.25
1077,0.54,2662.25
1078,0.54,2662.25
1079,0.54,2662.25
1080,0.54,2662.25
1081,0.54,2526.73
1082,0.54,2401.04
1083,0.54,2284.46
1084,0.54,2176.33
1085,0.54,2076.04
1086,0.54,1983.02
1087,0.54,1896.74
1088,0.54,1816.72
1089,0.54,1742.5
1090,0.54,1673.66
1091,0.54,1609.82
1092,0.54,1550.6
1093,0.54,1495.67
1094,0.54,1444.73
1095,0.54,1397.48
1096,0.54,1353.66
1097,0.54,1313.01
