t_s,Q_m3_s,hm_Ethanol_m_s,hm_Propyl acetate_m_s,hm_1-Propanol_m_s,hm_Isopropanol_m_s
274,0.54,0.00102832,0.000808242,0.000906839,0.000896245
275,0.54,0.00102832,0.000808242,0.000906839,0.000896245
276,0.54,0.00102832,0.000808242,0.000906839,0.000896245
277,0.54,0.00102832,0.000808242,0.000906839,0.000896245
278,0.54,0.00102832,0.000808242,0.000906839,0.000896245
279,0.54,0.00102832,0.000808242,0.000906839,0.000896245
280,0.54,0.00102832,0.000808242,0.000906839,0.000896245
281,0.54,0.00102832,0.000808242,0.000906839,0.000896245
282,0.54,0.00102832,0.000808242,0.000906839,0.000896245
283,0.54,0.00102832,0.000808242,0.000906839,0.000896245
284,0.54,0.00102832,0.000808242,0.000906839,0.000896245
285,0.54,0.00102832,0.000808242,0.000906839,0.000896245
286,0.54,0.00102832,0.000808242,0.000906839,0.000896245
287,0.54,0.00102832,0.000808242,0.000906839,0.000896245
288,0.54,0.00102832,0.000808242,0.000906839,0.000896245
289,0.54,0.00102832,0.000808242,0.000906839,0.000896245
290,0.54,0.00102832,0.000808242,0.000906839,0.000896245
291,0.54,0.00102832,0.000808242,0.000906839,0.000896245
292,0.54,0.00102832,0.000808242,0.000906839,0.000896245
293,0.54,0.00102832,0.000808242,0.000906839,0.000896245
294,0.54,0.00102832,0.000808242,0.000906839,0.000896245
295,0.54,0.00102832,0.000808242,0.000906839,0.000896245
296,0.54,0.00102832,0.000808242,0.000906839,0.000896245
297,0.54,0.00102832,0.000808242,0.000906839,0.000896245
298,0.54,0.00102832,0.000808242,0.000906839,0.000896245
299,0.54,0.00102832,0.000808242,0.000906839,0.000896245
300,0.54,0.00102832,0.000808242,0.000906839,0.000896245
301,0.54,0.00102832,0.000808242,0.000906839,0.000896245
302,0.54,0.00102832,0.000808242,0.000906839,0.000896245
303,0.54,0.00102832,0.000808242,0.000906839,0.000896245
304,0.54,0.00102832,0.000808242,0.000906839,0.000896245
